optimizer,epsilon,lr,weight_decay,mean_test_accuracy,std_test_accuracy,original_test_accuracy
adamw,3,0.0124695645243731,4.780044439e-07,0.5006193161010742,0.00920219099423472,51.42892456054688
adamw,6,0.0080690446619576,9.113312277e-06,0.5305845499038696,0.003019427948712135,53.63249206542969
adamw,12,0.0042742466304823,7.09133957023e-05,0.5477604389190673,0.002436656532325839,55.16326522827149
adamwbc,3,0.0002106776602482,3.24536632475e-05,0.4898998081684113,0.006690861099909124,49.503116607666016
adamwbc,6,7.3060089449e-05,1.2884508581e-06,0.5257906079292297,0.005144264609894306,52.98849868774414
adamwbc,12,4.0859775267e-05,0.0311237541614978,0.5449746012687683,0.003553937703862089,54.45137023925781
