optimizer,epsilon,lr,weight_decay,test_accuracy,validation_accuracy
adamw,3,0.012469564524373157,0.00000047800444396251,51.428924560546875,52.40779495239258
adamw,6,0.008069044661957698,0.0000091133122770379,53.63249206542969,55.18305969238281
adamw,12,0.004274246630482373,0.00007091339570230698,55.16326522827149,56.26698684692383
adamwbc,3,0.00021067766024826068,0.00003245366324758223,49.503116607666016,50.7835807800293
adamwbc,6,0.00007306008944907637,0.0000012884508581745,52.98849868774414,54.659549713134766
adamwbc,12,0.00004085977526709032,0.031123754161497826,54.45137023925781,56.14617538452149
