optimizer,epsilon,lr,weight_decay,mean_test_accuracy,std_test_accuracy,original_test_accuracy
adamw,3,0.0149460608671995,0.0004726437171095,0.5020513236522675,0.007514501451976182,50.47219467163086
adamw,6,0.0075297018597198,0.0009590791229195,0.5340781569480896,0.003684495341085624,53.08725738525391
adamw,12,0.0043468657778918,0.0005122159123542,0.544221556186676,0.0033216903877253054,54.99454879760742
adamwbc,3,0.0001837785572801,2.6934933715e-06,0.4841964662075043,0.004200432414761405,49.38995361328125
adamwbc,6,9.6989673107e-05,2.4191404027e-06,0.525893485546112,0.004049074751854007,53.06051254272461
adamwbc,12,4.2614175496e-05,0.0001375481472527,0.5453202605247498,0.004342070402126442,54.687984466552734
