optimizer,epsilon,lr,weight_decay,test_accuracy,validation_accuracy
adamw,3,0.014946060867199538,0.0004726437171095883,50.47219467163086,51.32386779785156
adamw,6,0.007529701859719896,0.0009590791229195206,53.087257385253906,54.44142150878906
adamw,12,0.00434686577789186,0.0005122159123542201,54.99454879760742,56.1629524230957
adamwbc,3,0.00018377855728018288,0.00000269349337158208,49.38995361328125,50.30034255981445
adamwbc,6,0.00009698967310707328,0.0000024191404027686,53.06051254272461,54.28034210205078
adamwbc,12,0.00004261417549603991,0.00013754814725278956,54.687984466552734,55.864288330078125
