"Name","State","Notes","User","Tags","Created","Runtime","Sweep","activation","adam_corr","adam_corr_after_epoch","augmult_num","batch_size","beta_1","beta_2","classifier_model","clipping_only","cosine_lr","data_dir","dataset","debug","delta","dict_path","disable_jit","dp_l2_norm_clip","dp_noise_multiplier","dp_sampling","elu_alpha","ema","epochs","eps","eps_root","eval_every","exp_entity","exp_group","exp_name","exp_proj","gamma_decay","imp_max","imp_min","learning_rate","lr_decay","n_data_workers","negative_slope","normalization","num_classes","optimizer","out_path","priv_accountant","progress_bar","resnet_depth","resnet_width","seed","sgd_momentum","target_eps","tmp_bias","trainer","weight_decay","weight_standardization","best_test_accuracy","dp_epsilon","epoch","epoch_step","loss","step","steps_per_epoch","test_accuracy","test_loss","test_step","update_norm"
"7.0_AdamW_wd0.01_lr0.0005_c1.0_e5e-8_trial1","finished","-","","","2025-04-29T20:23:00.000Z","1287","","tanh","false","-1","0","1024","0.9","0.999","CNN5","false","false","/tmp/data","CIFAR10","false","0.00001","/tmp","false","1","1","false","1","false","70","5e-8","5e-8","1000","cs2080","jax_final_sweep","7.0_AdamW_wd0.01_lr0.0005_c1.0_e5e-8_trial1","cifar_7.0_trials","1","1","0","0.0005","1","2","0.2","none","10","sgd","$HOME/tmp","prv","true","16","4","1024","false","7","0","DPAdamW","0.01","false","0.6148003472222222","6.437034549840683","69","47","1.657080888748169","3359","48","0.6148003472222222","1.5579447878731625","3000","0.666526734828949"
"7.0_AdamWBC_wd0.0001_lr0.0004_c1.0_e5e-8_trial1","finished","-","","","2025-04-29T19:25:21.000Z","1372","","tanh","true","-1","0","1024","0.9","0.999","CNN5","false","false","/tmp/data","CIFAR10","false","0.00001","/tmp","false","1","1","false","1","false","70","5e-8","5e-8","1000","cs2080","jax_final_sweep","7.0_AdamWBC_wd0.0001_lr0.0004_c1.0_e5e-8_trial1","cifar_7.0_trials","1","1","0","0.0004","1","2","0.2","none","10","sgd","$HOME/tmp","prv","true","16","4","1024","false","7","0","DPAdamW","0.0001","false","0.6138237847222222","6.437034549840683","69","47","1.5955764055252075","3359","48","0.6138237847222222","1.5196182197994657","3000","0.6664559841156006"
"7.0_AdamW_wd0.001_lr0.0005_c1.0_e5e-8_trial1","finished","-","","","2025-04-29T20:23:06.000Z","1297","","tanh","false","-1","0","1024","0.9","0.999","CNN5","false","false","/tmp/data","CIFAR10","false","0.00001","/tmp","false","1","1","false","1","false","70","5e-8","5e-8","1000","cs2080","jax_final_sweep","7.0_AdamW_wd0.001_lr0.0005_c1.0_e5e-8_trial1","cifar_7.0_trials","1","1","0","0.0005","1","2","0.2","none","10","sgd","$HOME/tmp","prv","true","16","4","1024","false","7","0","DPAdamW","0.001","false","0.6110026041666666","6.437034549840683","69","47","1.741230845451355","3359","48","0.6110026041666666","1.5695053471459284","3000","0.6673440933227539"
"7.0_AdamWBC_wd0.01_lr0.0004_c1.0_e5e-8_trial1","finished","-","","","2025-04-29T19:16:20.000Z","1271","","tanh","true","-1","0","1024","0.9","0.999","CNN5","false","false","/tmp/data","CIFAR10","false","0.00001","/tmp","false","1","1","false","1","false","70","5e-8","5e-8","1000","cs2080","jax_final_sweep","7.0_AdamWBC_wd0.01_lr0.0004_c1.0_e5e-8_trial1","cifar_7.0_trials","1","1","0","0.0004","1","2","0.2","none","10","sgd","$HOME/tmp","prv","true","16","4","1024","false","7","0","DPAdamW","0.01","false","0.6105685763888888","6.437034549840683","69","47","1.6396430730819702","3359","48","0.6105685763888888","1.5338284704420302","3000","0.6664073467254639"
"7.0_AdamW_wd0.001_lr0.0004_c1.0_e5e-8_trial1","finished","-","","","2025-04-29T19:38:27.000Z","1286","","tanh","false","-1","0","1024","0.9","0.999","CNN5","false","false","/tmp/data","CIFAR10","false","0.00001","/tmp","false","1","1","false","1","false","70","5e-8","5e-8","1000","cs2080","jax_final_sweep","7.0_AdamW_wd0.001_lr0.0004_c1.0_e5e-8_trial1","cifar_7.0_trials","1","1","0","0.0004","1","2","0.2","none","10","sgd","$HOME/tmp","prv","true","16","4","1024","false","7","0","DPAdamW","0.001","false","0.6104600694444444","6.437034549840683","69","47","1.5635969638824463","3359","48","0.6104600694444444","1.5230928659439087","3000","0.6663674712181091"
"7.0_AdamW_wd0.001_lr0.0003_c1.0_e5e-8_trial1","finished","-","","","2025-04-29T18:54:05.000Z","1278","","tanh","false","-1","0","1024","0.9","0.999","CNN5","false","false","/tmp/data","CIFAR10","false","0.00001","/tmp","false","1","1","false","1","false","70","5e-8","5e-8","1000","cs2080","jax_final_sweep","7.0_AdamW_wd0.001_lr0.0003_c1.0_e5e-8_trial1","cifar_7.0_trials","1","1","0","0.0003","1","2","0.2","none","10","sgd","$HOME/tmp","prv","true","16","4","1024","false","7","0","DPAdamW","0.001","false","0.6103515625","6.437034549840683","69","47","1.5734041929244995","3359","48","0.6103515625","1.4840204053454928","3000","0.667013943195343"
"7.0_AdamW_wd0.01_lr0.0003_c1.0_e5e-8_trial1","finished","-","","","2025-04-29T18:54:05.000Z","1287","","tanh","false","-1","0","1024","0.9","0.999","CNN5","false","false","/tmp/data","CIFAR10","false","0.00001","/tmp","false","1","1","false","1","false","70","5e-8","5e-8","1000","cs2080","jax_final_sweep","7.0_AdamW_wd0.01_lr0.0003_c1.0_e5e-8_trial1","cifar_7.0_trials","1","1","0","0.0003","1","2","0.2","none","10","sgd","$HOME/tmp","prv","true","16","4","1024","false","7","0","DPAdamW","0.01","false","0.6088324652777778","6.437034549840683","69","47","1.5150327682495115","3359","48","0.6088324652777778","1.5115457773208618","3000","0.667168140411377"
"7.0_AdamWBC_wd0.001_lr0.0005_c1.0_e5e-8_trial1","finished","-","","","2025-04-29T20:00:45.000Z","1309","","tanh","true","-1","0","1024","0.9","0.999","CNN5","false","false","/tmp/data","CIFAR10","false","0.00001","/tmp","false","1","1","false","1","false","70","5e-8","5e-8","1000","cs2080","jax_final_sweep","7.0_AdamWBC_wd0.001_lr0.0005_c1.0_e5e-8_trial1","cifar_7.0_trials","1","1","0","0.0005","1","2","0.2","none","10","sgd","$HOME/tmp","prv","true","16","4","1024","false","7","0","DPAdamW","0.001","false","0.6072048611111112","6.437034549840683","69","47","1.6873799562454224","3359","48","0.6072048611111112","1.592595722940233","3000","0.6667184233665466"
"7.0_AdamW_wd0.0001_lr0.0003_c1.0_e5e-8_trial1","finished","-","","","2025-04-29T19:01:43.000Z","1359","","tanh","false","-1","0","1024","0.9","0.999","CNN5","false","false","/tmp/data","CIFAR10","false","0.00001","/tmp","false","1","1","false","1","false","70","5e-8","5e-8","1000","cs2080","jax_final_sweep","7.0_AdamW_wd0.0001_lr0.0003_c1.0_e5e-8_trial1","cifar_7.0_trials","1","1","0","0.0003","1","2","0.2","none","10","sgd","$HOME/tmp","prv","true","16","4","1024","false","7","0","DPAdamW","0.0001","false","0.6064453125","6.437034549840683","69","47","1.546529769897461","3359","48","0.6064453125","1.5105828311708238","3000","0.6674559712409973"
"7.0_AdamWBC_wd0.001_lr0.0004_c1.0_e5e-8_trial1","finished","-","","","2025-04-29T19:16:20.000Z","1296","","tanh","true","-1","0","1024","0.9","0.999","CNN5","false","false","/tmp/data","CIFAR10","false","0.00001","/tmp","false","1","1","false","1","false","70","5e-8","5e-8","1000","cs2080","jax_final_sweep","7.0_AdamWBC_wd0.001_lr0.0004_c1.0_e5e-8_trial1","cifar_7.0_trials","1","1","0","0.0004","1","2","0.2","none","10","sgd","$HOME/tmp","prv","true","16","4","1024","false","7","0","DPAdamW","0.001","false","0.6063368055555556","6.437034549840683","69","47","1.6482999324798584","3359","48","0.6063368055555556","1.529422124226888","3000","0.6667990684509277"
"7.0_AdamWBC_wd0.01_lr0.0005_c1.0_e5e-8_trial1","finished","-","","","2025-04-29T20:00:45.000Z","1279","","tanh","true","-1","0","1024","0.9","0.999","CNN5","false","false","/tmp/data","CIFAR10","false","0.00001","/tmp","false","1","1","false","1","false","70","5e-8","5e-8","1000","cs2080","jax_final_sweep","7.0_AdamWBC_wd0.01_lr0.0005_c1.0_e5e-8_trial1","cifar_7.0_trials","1","1","0","0.0005","1","2","0.2","none","10","sgd","$HOME/tmp","prv","true","16","4","1024","false","7","0","DPAdamW","0.01","false","0.6060112847222222","6.437034549840683","69","47","1.7392730712890625","3359","48","0.6060112847222222","1.5802200105455186","3000","0.6663525700569153"
"7.0_AdamWBC_wd0.001_lr0.0003_c1.0_e5e-8_trial1","finished","-","","","2025-04-29T18:31:52.000Z","1292","","tanh","true","-1","0","1024","0.9","0.999","CNN5","false","false","/tmp/data","CIFAR10","false","0.00001","/tmp","false","1","1","false","1","false","70","5e-8","5e-8","1000","cs2080","jax_final_sweep","7.0_AdamWBC_wd0.001_lr0.0003_c1.0_e5e-8_trial1","cifar_7.0_trials","1","1","0","0.0003","1","2","0.2","none","10","sgd","$HOME/tmp","prv","true","16","4","1024","false","7","0","DPAdamW","0.001","false","0.6057942708333334","6.437034549840683","69","47","1.4749062061309814","3359","48","0.6057942708333334","1.5240077310138278","3000","0.6669080257415771"
