"Name","State","Notes","User","Tags","Created","Runtime","Sweep","activation","adam_corr","adam_corr_after_epoch","augmult_num","batch_size","beta_1","beta_2","classifier_model","clipping_only","cosine_lr","data_dir","dataset","debug","delta","dict_path","disable_jit","dp_l2_norm_clip","dp_noise_multiplier","dp_sampling","elu_alpha","ema","epochs","eps","eps_root","eval_every","exp_entity","exp_group","exp_name","exp_proj","gamma_decay","imp_max","imp_min","learning_rate","lr_decay","n_data_workers","negative_slope","normalization","num_classes","optimizer","out_path","priv_accountant","progress_bar","resnet_depth","resnet_width","seed","sgd_momentum","target_eps","tmp_bias","trainer","weight_decay","weight_standardization","best_test_accuracy","dp_epsilon","epoch","epoch_step","loss","perc_corr1","perc_corr2","step","steps_per_epoch","test_accuracy","test_loss","test_step","update_norm"
"1.0_AdamW_wd0.0001_lr0.0015_c1.0_e5e-08_trial3","finished","-","","","2025-04-30T13:39:41.000Z","920","","tanh","false","-1","0","1024","0.9","0.999","CNN5","false","false","/tmp/data","CIFAR10","false","0.00001","/tmp","false","1","1","false","1","false","70","5e-8","5e-8","500","cs2080","jax_final_sweep","1.0_AdamW_wd0.0001_lr0.0015_c1.0_e5e-08_trial3","cifar_1.0_trials_2","1","1","0","0.0015","1","2","0.2","none","10","adam","$HOME/tmp","prv","true","16","4","1026","false","1","0","DPAdamW","0.0001","false","0.5279947916666666","0.9770437718268348","69","47","1.689448595046997","","","3359","48","0.5279947916666666","1.5349316332075331","3359","2.905287265777588"
"1.0_AdamW_wd0.01_lr0.0015_c1.0_e5e-08_trial1","finished","-","","","2025-04-30T07:19:37.000Z","1022","","tanh","false","-1","0","1024","0.9","0.999","CNN5","false","false","/tmp/data","CIFAR10","false","0.00001","/tmp","false","1","1","false","1","false","70","5e-8","5e-8","500","cs2080","jax_final_sweep","1.0_AdamW_wd0.01_lr0.0015_c1.0_e5e-08_trial1","cifar_1.0_trials_2","1","1","0","0.0015","1","2","0.2","none","10","adam","$HOME/tmp","prv","true","16","4","1024","false","1","0","DPAdamW","0.01","false","0.5276692708333334","0.9770437718268348","69","47","1.661440134048462","","","3359","48","0.5276692708333334","1.552925984064738","3359","2.911449670791626"
"1.0_AdamW_wd1e-05_lr0.0015_c1.0_e5e-08_trial1","finished","-","","","2025-04-30T07:11:56.000Z","906","","tanh","false","-1","0","1024","0.9","0.999","CNN5","false","false","/tmp/data","CIFAR10","false","0.00001","/tmp","false","1","1","false","1","false","70","5e-8","5e-8","500","cs2080","jax_final_sweep","1.0_AdamW_wd1e-05_lr0.0015_c1.0_e5e-08_trial1","cifar_1.0_trials_2","1","1","0","0.0015","1","2","0.2","none","10","adam","$HOME/tmp","prv","true","16","4","1024","false","1","0","DPAdamW","0.00001","false","0.5274522569444444","0.9770437718268348","69","47","1.560383439064026","","","3359","48","0.5274522569444444","1.5675110154681735","3359","2.91123104095459"
"1.0_AdamW_wd0.0001_lr0.002_c1.0_e5e-08_trial3","finished","-","","","2025-04-30T13:55:58.000Z","910","","tanh","false","-1","0","1024","0.9","0.999","CNN5","false","false","/tmp/data","CIFAR10","false","0.00001","/tmp","false","1","1","false","1","false","70","5e-8","5e-8","500","cs2080","jax_final_sweep","1.0_AdamW_wd0.0001_lr0.002_c1.0_e5e-08_trial3","cifar_1.0_trials_2","1","1","0","0.002","1","2","0.2","none","10","adam","$HOME/tmp","prv","true","16","4","1026","false","1","0","DPAdamW","0.0001","false","0.52734375","0.9770437718268348","69","47","1.7493778467178345","","","3359","48","0.52734375","1.5829901827706232","3359","2.9053878784179688"
"1.0_AdamW_wd0.01_lr0.002_c1.0_e5e-08_trial3","finished","-","","","2025-04-30T14:21:11.000Z","914","","tanh","false","-1","0","1024","0.9","0.999","CNN5","false","false","/tmp/data","CIFAR10","false","0.00001","/tmp","false","1","1","false","1","false","70","5e-8","5e-8","500","cs2080","jax_final_sweep","1.0_AdamW_wd0.01_lr0.002_c1.0_e5e-08_trial3","cifar_1.0_trials_2","1","1","0","0.002","1","2","0.2","none","10","adam","$HOME/tmp","prv","true","16","4","1026","false","1","0","DPAdamW","0.01","false","0.5271267361111112","0.9770437718268348","69","47","1.6648417711257937","","","3359","48","0.5271267361111112","1.567975812488132","3359","2.905503273010254"
"1.0_AdamW_wd0.001_lr0.0015_c1.0_e1e-08_trial1","finished","-","","","2025-04-30T08:53:26.000Z","902","","tanh","false","-1","0","1024","0.9","0.999","CNN5","false","false","/tmp/data","CIFAR10","false","0.00001","/tmp","false","1","1","false","1","false","70","1e-8","1e-8","500","cs2080","jax_final_sweep","1.0_AdamW_wd0.001_lr0.0015_c1.0_e1e-08_trial1","cifar_1.0_trials_2","1","1","0","0.0015","1","2","0.2","none","10","adam","$HOME/tmp","prv","true","16","4","1024","false","1","0","DPAdamW","0.001","false","0.5271267361111112","0.9770437718268348","69","47","1.6017675399780271","","","3359","48","0.5271267361111112","1.5758689774407282","3359","2.9111640453338623"
"1.0_AdamW_wd1e-05_lr0.002_c1.0_e5e-08_trial3","finished","-","","","2025-04-30T13:54:52.000Z","918","","tanh","false","-1","0","1024","0.9","0.999","CNN5","false","false","/tmp/data","CIFAR10","false","0.00001","/tmp","false","1","1","false","1","false","70","5e-8","5e-8","500","cs2080","jax_final_sweep","1.0_AdamW_wd1e-05_lr0.002_c1.0_e5e-08_trial3","cifar_1.0_trials_2","1","1","0","0.002","1","2","0.2","none","10","adam","$HOME/tmp","prv","true","16","4","1026","false","1","0","DPAdamW","0.00001","false","0.5270182291666666","0.9770437718268348","69","47","1.6538262367248535","","","3359","48","0.5270182291666666","1.5690037806828816","3359","2.9054617881774902"
"1.0_AdamW_wd0.0001_lr0.0015_c1.0_e1e-08_trial1","finished","-","","","2025-04-30T08:48:20.000Z","918","","tanh","false","-1","0","1024","0.9","0.999","CNN5","false","false","/tmp/data","CIFAR10","false","0.00001","/tmp","false","1","1","false","1","false","70","1e-8","1e-8","500","cs2080","jax_final_sweep","1.0_AdamW_wd0.0001_lr0.0015_c1.0_e1e-08_trial1","cifar_1.0_trials_2","1","1","0","0.0015","1","2","0.2","none","10","adam","$HOME/tmp","prv","true","16","4","1024","false","1","0","DPAdamW","0.0001","false","0.5269097222222222","0.9770437718268348","69","47","1.5483852624893188","","","3359","48","0.5269097222222222","1.5678066280153062","3359","2.9112749099731445"
"1.0_AdamW_wd0.01_lr0.0015_c1.0_e5e-08_trial3","finished","-","","","2025-04-30T14:05:04.000Z","913","","tanh","false","-1","0","1024","0.9","0.999","CNN5","false","false","/tmp/data","CIFAR10","false","0.00001","/tmp","false","1","1","false","1","false","70","5e-8","5e-8","500","cs2080","jax_final_sweep","1.0_AdamW_wd0.01_lr0.0015_c1.0_e5e-08_trial3","cifar_1.0_trials_2","1","1","0","0.0015","1","2","0.2","none","10","adam","$HOME/tmp","prv","true","16","4","1026","false","1","0","DPAdamW","0.01","false","0.5257161458333334","0.9770437718268348","69","47","1.612463355064392","","","3359","48","0.5257161458333334","1.523779975043403","3359","2.905438184738159"
"1.0_AdamW_wd0.001_lr0.0015_c1.0_e5e-08_trial1","finished","-","","","2025-04-30T07:16:39.000Z","909","","tanh","false","-1","0","1024","0.9","0.999","CNN5","false","false","/tmp/data","CIFAR10","false","0.00001","/tmp","false","1","1","false","1","false","70","5e-8","5e-8","500","cs2080","jax_final_sweep","1.0_AdamW_wd0.001_lr0.0015_c1.0_e5e-08_trial1","cifar_1.0_trials_2","1","1","0","0.0015","1","2","0.2","none","10","adam","$HOME/tmp","prv","true","16","4","1024","false","1","0","DPAdamW","0.001","false","0.5251736111111112","0.9770437718268348","69","47","1.58996319770813","","","3359","48","0.5251736111111112","1.5770916806326971","3359","2.911261796951294"
